scenario_id,sweep,model,aircraft_count,speed_kmh,speed_mps,building_density,building_count,vertiport_count,actual_vertiport_count,safety_distance_m,safety_label,pad_occupancy_enabled,weather,total_flights,success_flights,failed_flights,building_risk_count,building_collision_count,aircraft_collision_count,aircraft_conflict_sample_count,collision_risk_count,avg_flight_distance_m,avg_flight_time_s,avg_delay_s,avg_takeoff_pad_delay_s,avg_landing_pad_delay_s,avg_pad_delay_s,max_pad_delay_s,pad_wait_flight_count,avg_detour_distance_m,avg_altitude_changes,avg_path_changes,scenario_name,description,map_width,map_height,grid_size,road_width,fleet_size,duration_s,mission_interval_s,generated_missions,completed_within_duration,completed_after_duration,active_vehicle_count,avg_missions_per_active_vehicle,max_missions_per_vehicle,run_id,cycle,run_seed,wallclock_model
S1,continuous,A,75,240.0,66.66666666666667,0.35,326,8,8,152.4,500ft,False,disabled,1080,83,997,1141,1141,916,1128,2057,991.9600932452008,61.92505372332323,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1075,5,75,14.4,22,S1_cycle0006_A_seed1600,6,1600,A
S1,continuous,B,75,240.0,66.66666666666667,0.35,305,8,8,152.4,500ft,False,disabled,1080,169,911,72,0,936,1144,936,1035.5250866778008,67.95573893530712,0.0,0.0,0.0,0.0,0.0,0,0.11779553981704048,0.3814814814814815,0.06666666666666667,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1074,6,75,14.4,25,S1_cycle0006_B_seed1601,6,1601,B
S1,continuous,C,75,240.0,66.66666666666667,0.35,318,8,8,152.4,500ft,False,disabled,1080,122,958,709,709,690,691,1399,1227.395642075308,93.91993892702465,78.27777777777777,0.0,0.0,0.0,0.0,0,0.0,0.36203703703703705,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1063,17,75,14.4,20,S1_cycle0006_C_seed1602,6,1602,C
S1,continuous,D,75,240.0,66.66666666666667,0.35,319,8,8,152.4,500ft,False,disabled,1080,168,912,11,11,985,1058,996,1341.4215978182795,106.878155482261,132.22222222222223,0.0,0.0,0.0,0.0,0,0.002039929417203249,0.7870370370370371,0.004629629629629629,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1056,24,75,14.4,20,S1_cycle0006_D_seed1603,6,1603,D
S1,continuous,E,75,240.0,66.66666666666667,0.35,300,8,8,152.4,500ft,True,disabled,1080,279,801,51,20,2269,42543,2289,1229.72796998642,864.1006872313113,1317.0830250677739,1296.8608028455517,757.0234648745496,2053.8842677200987,3878.4114834329407,1072,0.20700317677816854,0.7759259259259259,0.046296296296296294,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,348,732,75,14.4,18,S1_cycle0006_E_seed1604,6,1604,E
S1,continuous,A,75,240.0,66.66666666666667,0.35,290,8,8,152.4,500ft,False,disabled,1080,47,1033,973,973,1222,1591,2195,1129.2108569624688,78.46905972572736,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1074,6,75,14.4,22,S1_cycle0007_A_seed1700,7,1700,A
S1,continuous,B,75,240.0,66.66666666666667,0.35,329,8,8,152.4,500ft,False,disabled,1080,60,1020,0,0,1615,2240,1615,1210.2203472988035,94.44090275066148,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7555555555555555,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1071,9,75,14.4,22,S1_cycle0007_B_seed1701,7,1701,B
S1,continuous,C,75,240.0,66.66666666666667,0.35,319,8,8,152.4,500ft,False,disabled,1080,51,1029,395,395,1146,1250,1541,1292.993642713606,124.30782408835232,149.16666666666666,0.0,0.0,0.0,0.0,0,0.0,0.4824074074074074,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1052,28,75,14.4,21,S1_cycle0007_C_seed1702,7,1702,C
S1,continuous,D,75,240.0,66.66666666666667,0.35,304,8,8,152.4,500ft,False,disabled,1080,192,888,22,3,885,920,888,1038.2802660178759,104.83112403416568,127.55555555555556,0.0,0.0,0.0,0.0,0,0.07828700252880912,0.6416666666666667,0.020370370370370372,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1053,27,75,14.4,22,S1_cycle0007_D_seed1703,7,1703,D
S1,continuous,E,75,240.0,66.66666666666667,0.35,309,8,8,152.4,500ft,True,disabled,1080,256,824,72,11,2437,40964,2448,1387.4772034229359,850.4777201504553,1299.3554768654385,1275.633254643216,742.2671365003671,2017.9003911435846,3869.6780554914203,1072,0.06405049787232955,0.7462962962962963,0.06481481481481481,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,344,736,75,14.4,18,S1_cycle0007_E_seed1704,7,1704,E
S1,continuous,A,75,240.0,66.66666666666667,0.35,310,8,8,152.4,500ft,False,disabled,1080,69,1011,1165,1165,1069,1362,2234,1137.4131354354993,67.63675923209249,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1074,6,75,14.4,25,S1_cycle0008_A_seed1800,8,1800,A
S1,continuous,B,75,240.0,66.66666666666667,0.35,324,8,8,152.4,500ft,False,disabled,1080,100,980,28,0,1285,1678,1285,1275.9896115898057,87.0977264186199,0.0,0.0,0.0,0.0,0.0,0,0.040602813246855225,0.5148148148148148,0.012962962962962963,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1071,9,75,14.4,24,S1_cycle0008_B_seed1801,8,1801,B
S1,continuous,C,75,240.0,66.66666666666667,0.35,322,8,8,152.4,500ft,False,disabled,1080,137,943,634,634,799,819,1433,1151.662268995255,93.57388282722718,129.22222222222223,0.0,0.0,0.0,0.0,0,0.0,0.4166666666666667,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1057,23,75,14.4,22,S1_cycle0008_C_seed1802,8,1802,C
S1,continuous,D,75,240.0,66.66666666666667,0.35,325,8,8,152.4,500ft,False,disabled,1080,378,702,37,0,543,543,543,1074.857837639255,79.45380657206803,63.166666666666664,0.0,0.0,0.0,0.0,0,0.027330308943394527,0.5453703703703704,0.03425925925925926,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1067,13,75,14.4,20,S1_cycle0008_D_seed1803,8,1803,D
S1,continuous,E,75,240.0,66.66666666666667,0.35,318,8,8,152.4,500ft,True,disabled,1080,298,782,21,21,3448,174455,3469,1313.8398242283263,1079.5298111004179,1261.82434381774,1227.935454928852,960.9749308213921,2188.910385750245,6160.0,1068,0.023831957944275402,0.8037037037037037,0.01574074074074074,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,331,749,75,14.4,21,S1_cycle0008_E_seed1804,8,1804,E
