scenario_id,sweep,model,flight_id,aircraft_id,planned_start_time,start_time,cruise_arrival_time,descent_start_time,end_time,delay_s,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s,takeoff_pad_start_s,takeoff_pad_end_s,landing_pad_start_s,landing_pad_end_s,cruise_altitude,distance_m,detour_distance_m,building_risks,building_collisions,path_changes,altitude_changes
S4,continuous,A,0,60,0.0,0.0,38.60783601083757,38.60783601083757,60.282482140771954,0.0,0.0,0.0,0.0,0.0,30.0,50.282482140771954,240.28248214077195,300.0,2625.2828771691006,0.0,1,1,0,0
S4,continuous,A,1,11,10.0,10.0,121.08333848204788,121.08333848204788,152.28975296039934,0.0,0.0,0.0,0.0,10.0,40.0,142.28975296039934,332.28975296039937,300.0,4891.994287807888,0.0,0,0,0,0
S4,continuous,A,2,133,20.0,20.0,82.81976164248525,82.81976164248525,101.75822487109538,0.0,0.0,0.0,0.0,20.0,50.0,91.75822487109538,281.75822487109536,300.0,2109.305422496259,0.0,0,0,0,0
S4,continuous,A,3,173,30.0,30.0,72.67113072260138,72.67113072260138,124.67575978207543,0.0,0.0,0.0,0.0,30.0,60.0,114.67575978207543,304.67575978207543,300.0,1399.4962346372822,0.0,0,0,0,0
S4,continuous,A,4,10,40.0,40.0,100.22799344224893,100.22799344224893,134.10294023723102,0.0,0.0,0.0,0.0,40.0,70.0,124.10294023723102,314.102940237231,300.0,1514.980613404446,0.0,0,0,0,0
S4,continuous,A,5,87,50.0,50.0,128.55019505415237,128.55019505415237,136.0494743030843,0.0,0.0,0.0,0.0,50.0,80.0,128.55019505415237,318.55019505415237,300.0,2273.472938575822,0.0,0,0,0,0
S4,continuous,A,6,129,60.0,60.0,101.50411909273754,101.50411909273754,146.5128251423701,0.0,0.0,0.0,0.0,60.0,90.0,136.5128251423701,326.5128251423701,300.0,2935.0387155609224,0.0,0,0,0,0
S4,continuous,A,7,81,70.0,70.0,167.51511096162156,167.51511096162156,189.82175091455125,0.0,0.0,0.0,0.0,70.0,100.0,179.82175091455125,369.8217509145512,300.0,4688.145037707746,0.0,3,3,0,0
S4,continuous,A,8,131,80.0,80.0,91.84095176640335,91.84095176640335,143.21131972015417,0.0,0.0,0.0,0.0,80.0,110.0,133.21131972015417,323.21131972015417,300.0,670.9206484160331,0.0,0,0,0,0
S4,continuous,A,9,88,90.0,90.0,127.83470846155728,281.84095176640335,333.21131972015417,0.0,0.0,154.00624330484607,154.00624330484607,90.0,120.0,323.21131972015417,513.2113197201542,300.0,2316.7101835217686,0.0,1,1,0,0
